bóc	b ɔɜ k
bốc	b oɜ k
bộc	b o6 k
bọc	b ɔ6 k
boi	b ɔ7 j
bói	b ɔɜ j
bòi	b ɔ2 j
bôi	b o7 j
bối	b oɜ j
bồi	b o2 j
bổi	b o4 j
bội	b o6 j
bỏi	b ɔ4 j
bơi	b əː7 j
bới	b əːɜ j
bời	b əː2 j
bởi	b əː4 j
bom	b ɔ7 m
bòm	b ɔ2 m
bôm	b o7 m
bồm	b o2 m
bỗm	b o5 m
bõm	b ɔ5 m
bỏm	b ɔ4 m
bơm	b əː7 m
bờm	b əː2 m
bợm	b əː6 m
bon	b ɔ7 n
bón	b ɔɜ n
bòn	b ɔ2 n
bôn	b o7 n
bốn	b oɜ n
bồn	b o2 n
bổn	b o4 n
bộn	b o6 n
bỏn	b ɔ4 n
bọn	b ɔ6 n
bơn	b əː7 n
bớn	b əːɜ n
bờn	b əː2 n
bỡn	b əː5 n
bợn	b əː6 n
bong	b ɔ7 ŋ
bóng	b ɔɜ ŋ
bòng	b ɔ2 ŋ
bông	b o7 ŋ
bống	b oɜ ŋ
bồng	b o2 ŋ
bỗng	b o5 ŋ
bổng	b o4 ŋ
bộng	b o6 ŋ
bõng	b ɔ5 ŋ
bỏng	b ɔ4 ŋ
bọng	b ɔ6 ŋ
bóp	b ɔɜ p
bốp	b oɜ p
bộp	b o6 p
bọp	b ɔ6 p
bớp	b əːɜ p
bợp	b əː6 p
bót	b ɔɜ t̪
bốt	b oɜ t̪
bột	b o6 t̪
bọt	b ɔ6 t̪
bớt	b əːɜ t̪
bợt	b əː6 t̪
bu	b u7
bú	b uɜ
bù	b u2
bủ	b u4
bụ	b u6
bư	b y7
bứ	b yɜ
bự	b y6
bua	b uə7
búa	b uəɜ
bùa	b uə2
bủa	b uə4
bụa	b uə6
bưa	b yə7
bứa	b yəɜ
bừa	b yə2
bữa	b yə5
bửa	b yə4
bựa	b yə6
bục	b u6 c
bức	b yɜ c
bực	b y6 c
buê	b w e7
bui	b u7 j
búi	b uɜ j
bùi	b u2 j
bụi	b u6 j
bum	b u7 m
bùm	b u2 m
bũm	b u5 m
bủm	b u4 m
bụm	b u6 m
bun	b u7 n
bún	b uɜ n
bùn	b u2 n
bủn	b u4 n
bừn	b y2 n
bung	b u7 ŋ
búng	b uɜ ŋ
bùng	b u2 ŋ
bủng	b u4 ŋ
bụng	b u6 ŋ
bưng	b y7 ŋ
bứng	b yɜ ŋ
bừng	b y2 ŋ
bửng	b y4 ŋ
bựng	b y6 ŋ
buộc	b uə6 c
bước	b yəɜ c
buôi	b uə7 j
buồi	b uə2 j
buổi	b uə4 j
bươi	b yə7 j
bưởi	b yə4 j
buồm	b uə2 m
bươm	b yə7 m
bướm	b yəɜ m
buôn	b uə7 n
buồn	b uə2 n
bươn	b yə7 n
buông	b uə7 ŋ
buồng	b uə2 ŋ
bương	b yə7 ŋ
bướng	b yəɜ ŋ
bướp	b yəɜ p
buốt	b uəɜ t̪
buột	b uə6 t̪
bượt	b yə6 t̪
bươu	b yə7 w
bướu	b yəɜ w
búp	b uɜ p
bụp	b u6 p
bút	b uɜ t̪
bụt	b u6 t̪
bứt	b yɜ t̪
bựt	b y6 t̪
bưu	b i7 w
bứu	b iɜ w
bửu	b i4 w
buy	b aɪ7
buýt	b w iɜ t̪
c	s e7
ca	k aː7
cá	k aːɜ
cà	k aː2
cả	k aː4
cạ	k aː6
các	k aːɜ c
cắc	k aɜ c
cặc	k a6 c
cấc	k əɜ c
cạc	k aː6 c
cách	k eɜ c
cạch	k e6 c
cai	k aː7 j
cái	k aːɜ j
cài	k aː2 j
cãi	k aː5 j
cải	k aː4 j
cam	k aː7 m
cám	k aːɜ m
càm	k aː2 m
căm	k a7 m
cắm	k aɜ m
cằm	k a2 m
cặm	k a6 m
câm	k ə7 m
cấm	k əɜ m
cầm	k ə2 m
cẫm	k ə5 m
cẩm	k ə4 m
cậm	k ə6 m
cảm	k aː4 m
cạm	k aː6 m
can	k aː7 n
cán	k aːɜ n
càn	k aː2 n
căn	k a7 n
cắn	k aɜ n
cằn	k a2 n
cẳn	k a4 n
cặn	k a6 n
cân	k ə7 n
cấn	k əɜ n
cần	k ə2 n
cẫn	k ə5 n
cẩn	k ə4 n
cận	k ə6 n
cản	k aː4 n
cạn	k aː6 n
cang	k aː7 ŋ
cáng	k aːɜ ŋ
càng	k aː2 ŋ
căng	k a7 ŋ
cắng	k aɜ ŋ
cằng	k a2 ŋ
cẵng	k a5 ŋ
cẳng	k a4 ŋ
câng	k ə7 ŋ
cẫng	k ə5 ŋ
cảng	k aː4 ŋ
canh	k e7 ɲ
cánh	k eɜ ɲ
cành	k e2 ɲ
cảnh	k e4 ɲ
cạnh	k e6 ɲ
cao	k aː7 w
cáo	k aːɜ w
cào	k aː2 w
cảo	k aː4 w
cạo	k aː6 w
cáp	k aːɜ p
cắp	k aɜ p
cặp	k a6 p
cấp	k əɜ p
cập	k ə6 p
cạp	k aː6 p
cát	k aːɜ t̪
cắt	k aɜ t̪
cặt	k a6 t̪
cất	k əɜ t̪
cật	k ə6 t̪
cau	k a7 w
cáu	k aɜ w
càu	k a2 w
câu	k ə1 w
cấu	k əɜ w
cầu	k ə2 w
cẩu	k ə4 w
cậu	k ə6 w
cảu	k a4 w
cạu	k a6 w
cay	k a7 j
cáy	k aɜ j
cày	k a2 j
cây	k əɪ7
cấy	k əɪɜ
cầy	k əɪ2
cẩy	k əɪ4
cậy	k əɪ6
cảy	k a4 j
cạy	k a6 j
cha	tʃ aː7
chá	tʃ aːɜ
chà	tʃ aː2
chã	tʃ aː5
chả	tʃ aː4
chạ	tʃ aː6
chác	tʃ aːɜ c
chắc	tʃ aɜ c
chặc	tʃ a6 c
chậc	tʃ ə6 c
chạc	tʃ aː6 c
chách	tʃ eɜ c
chạch	tʃ e6 c
chai	tʃ aː7 j
chái	tʃ aːɜ j
chài	tʃ aː2 j
chãi	tʃ aː5 j
chải	tʃ aː4 j
cham	tʃ aː7 m
chàm	tʃ aː2 m
chăm	tʃ a7 m
chắm	tʃ aɜ m
chằm	tʃ a2 m
chặm	tʃ a6 m
châm	tʃ ə7 m
chấm	tʃ əɜ m
chầm	tʃ ə2 m
chẫm	tʃ ə5 m
chẩm	tʃ ə4 m
chậm	tʃ ə6 m
chảm	tʃ aː4 m
chạm	tʃ aː6 m
chan	tʃ aː7 n
chán	tʃ aːɜ n
chăn	tʃ a7 n
chắn	tʃ aɜ n
chằn	tʃ a2 n
chẵn	tʃ a5 n
chặn	tʃ a6 n
chân	tʃ ə7 n
chấn	tʃ əɜ n
chần	tʃ ə2 n
chẫn	tʃ ə5 n
chẩn	tʃ ə4 n
chận	tʃ ə6 n
chạn	tʃ aː6 n
chang	tʃ aː7 ŋ
cháng	tʃ aːɜ ŋ
chàng	tʃ aː2 ŋ
chăng	tʃ a7 ŋ
chằng	tʃ a2 ŋ
chẳng	tʃ a4 ŋ
chặng	tʃ a6 ŋ
châng	tʃ ə7 ŋ
chảng	tʃ aː4 ŋ
chạng	tʃ aː6 ŋ
chanh	tʃ e7 ɲ
chánh	tʃ eɜ ɲ
chành	tʃ e2 ɲ
chảnh	tʃ e4 ɲ
chạnh	tʃ e6 ɲ
chao	tʃ aː7 w
cháo	tʃ aːɜ w
chào	tʃ aː2 w
chão	tʃ aː5 w
chảo	tʃ aː4 w
chạo	tʃ aː6 w
chắp	tʃ aɜ p
chặp	tʃ a6 p
chấp	tʃ əɜ p
chập	tʃ ə6 p
chạp	tʃ aː6 p
chát	tʃ aːɜ t̪
chắt	tʃ aɜ t̪
chặt	tʃ a6 t̪
chất	tʃ əɜ t̪
chật	tʃ ə6 t̪
chạt	tʃ aː6 t̪
chau	tʃ a7 w
cháu	tʃ aɜ w
chàu	tʃ a2 w
châu	tʃ ə1 w
chấu	tʃ əɜ w
chầu	tʃ ə2 w
chẫu	tʃ ə5 w
chẩu	tʃ ə4 w
chậu	tʃ ə6 w
chảu	tʃ a4 w
chay	tʃ a7 j
cháy	tʃ aɜ j
chày	tʃ a2 j
chây	tʃ əɪ7
chấy	tʃ əɪɜ
chầy	tʃ əɪ2
chẩy	tʃ əɪ4
chậy	tʃ əɪ6
chảy	tʃ a4 j
chạy	tʃ a6 j
che	tʃ ɛ7
ché	tʃ ɛɜ
chè	tʃ ɛ2
chê	tʃ e7
chế	tʃ eɜ
chề	tʃ e2
chệ	tʃ e6
chẽ	tʃ ɛ5
chẻ	tʃ ɛ4
chếch	tʃ eɜ c
chệch	tʃ e6 c
chem	tʃ ɛ7 m
chém	tʃ ɛɜ m
chèm	tʃ ɛ2 m
chêm	tʃ e7 m
chềm	tʃ e2 m
chễm	tʃ e5 m
chệm	tʃ e6 m
chẽm	tʃ ɛ5 m
chẻm	tʃ ɛ4 m
chen	tʃ ɛ7 n
chén	tʃ ɛɜ n
chèn	tʃ ɛ2 n
chện	tʃ e6 n
chẽn	tʃ ɛ5 n
chẹn	tʃ ɛ6 n
cheng	tʃ ɛ7 ŋ
chẻng	tʃ ɛ4 ŋ
chênh	tʃ e7 ɲ
chếnh	tʃ eɜ ɲ
chềnh	tʃ e2 ɲ
chễnh	tʃ e5 ɲ
chểnh	tʃ e4 ɲ
chệnh	tʃ e6 ɲ
cheo	tʃ ɛ7 w
chéo	tʃ ɛɜ w
chèo	tʃ ɛ2 w
chẻo	tʃ ɛ4 w
chẹo	tʃ ɛ6 w
chép	tʃ ɛɜ p
chếp	tʃ eɜ p
chệp	tʃ e6 p
chẹp	tʃ ɛ6 p
chét	tʃ ɛɜ t̪
chết	tʃ eɜ t̪
chệt	tʃ e6 t̪
chẹt	tʃ ɛ6 t̪
chêu	tʃ e1 w
chi	tʃ i7
chí	tʃ iɜ
chì	tʃ i2
chỉ	tʃ i4
chị	tʃ i6
chia	tʃ iə7
chía	tʃ iəɜ
chìa	tʃ iə2
chĩa	tʃ iə5
chỉa	tʃ iə4
chịa	tʃ iə6
chích	tʃ iɜ c
chịch	tʃ i6 c
chiếc	tʃ iɛɜ c
chiệc	tʃ iɛ6 c
chiêm	tʃ iɛ7 m
chiếm	tʃ iɛɜ m
chiên	tʃ iɛ7 n
chiến	tʃ iɛɜ n
chiền	tʃ iɛ2 n
chiện	tʃ iɛ6 n
chiêng	tʃ iɛ7 ŋ
chiếng	tʃ iɛɜ ŋ
chiềng	tʃ iɛ2 ŋ
chiểng	tʃ iɛ4 ŋ
chiệng	tʃ iɛ6 ŋ
chiếp	tʃ iɛɜ p
chiết	tʃ iɛɜ t̪
chiêu	tʃ iɛ7 w
chiếu	tʃ iɛɜ w
chiều	tʃ iɛ2 w
chiểu	tʃ iɛ4 w
chim	tʃ i7 m
chím	tʃ iɜ m
chìm	tʃ i2 m
chin	tʃ i7 n
chín	tʃ iɜ n
chĩn	tʃ i5 n
chỉn	tʃ i4 n
chịn	tʃ i6 n
chinh	tʃ i7 ɲ
chính	tʃ iɜ ɲ
chình	tʃ i2 ɲ
chĩnh	tʃ i5 ɲ
chỉnh	tʃ i4 ɲ
chíp	tʃ iɜ p
chít	tʃ iɜ t̪
chịt	tʃ i6 t̪
chiu	tʃ i7 w
chíu	tʃ iɜ w
chìu	tʃ i2 w
chĩu	tʃ i5 w
chịu	tʃ i6 w
cho	tʃ ɔ1
chó	tʃ ɔɜ
chò	tʃ ɔ2
chô	tʃ o7
chồ	tʃ o2
chỗ	tʃ o5
chổ	tʃ o4
chõ	tʃ ɔ5
chỏ	tʃ ɔ4
chọ	tʃ ɔ6
chơ	tʃ əː7
chớ	tʃ əːɜ
chờ	tʃ əː2
chở	tʃ əː4
chợ	tʃ əː6
choa	tʃ w aː7
chóa	tʃ w aːɜ
choác	tʃ w aːɜ c
choạc	tʃ w aː6 c
choai	tʃ w aː7 j
choái	tʃ w aːɜ j
choài	tʃ w aː2 j
choãi	tʃ w aː5 j
choại	tʃ w aː6 j
choàm	tʃ w aː2 m
choán	tʃ w aːɜ n
choăn	tʃ w a7 n
choang	tʃ w aː7 ŋ
choáng	tʃ w aːɜ ŋ
choàng	tʃ w aː2 ŋ
choảng	tʃ w aː4 ŋ
choạng	tʃ w aː6 ŋ
choạp	tʃ w aː6 p
choắt	tʃ w aɜ t̪
chóc	tʃ ɔɜ k
chốc	tʃ oɜ k
chọc	tʃ ɔ6 k
choe	tʃ w ɛ7
chóe	tʃ w ɛɜ
chòe	tʃ w ɛ2
chọe	tʃ w ɛ6
choen	tʃ w ɛ7 n
choèn	tʃ w ɛ2 n
choẻn	tʃ w ɛ4 n
choét	tʃ w ɛɜ t̪
choẹt	tʃ w ɛ6 t̪
choi	tʃ ɔ7 j
chói	tʃ ɔɜ j
chòi	tʃ ɔ2 j
chôi	tʃ o7 j
chối	tʃ oɜ j
chồi	tʃ o2 j
chỗi	tʃ o5 j
chổi	tʃ o4 j
